ncsim(64): 15.20-s086: (c) Copyright 1995-2020 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm dadaa_tb.a dadaa_tb.b dadaa_tb.clk dadaa_tb.p
Created probe 1
ncsim> run
a= 36 , b= 129 , p=    x
a= 99 , b=  13 , p=    x
a=101 , b=  18 , p=    x
a= 13 , b= 118 , p=    x
a=237 , b= 140 , p=    x
a=198 , b= 197 , p=    x
a=229 , b= 119 , p=    x
a=143 , b= 242 , p=    x
a=232 , b= 197 , p=    x
a=189 , b=  45 , p=45704
a= 99 , b=  10 , p=45704
a= 32 , b= 170 , p=  990
a=150 , b=  19 , p=  990
a= 83 , b= 107 , p=  990
a=  2 , b= 174 , p=  990
a=207 , b=  35 , p=  990
a=202 , b=  60 , p=  990
a=138 , b=  65 , p=  990
a=120 , b= 137 , p= 8970
a=182 , b= 198 , p= 8970
a=188 , b=  42 , p=36036
a=113 , b= 133 , p=36036
a= 59 , b=  58 , p=36036
a= 21 , b= 241 , p= 3422
a= 98 , b=  76 , p= 3422
a=143 , b= 248 , p= 3422
a=159 , b=  92 , p= 3422
a=137 , b=  73 , p= 3422
a=215 , b=  81 , p= 3422
a= 12 , b= 194 , p= 3422
a=119 , b=  61 , p= 3422
a=126 , b= 109 , p= 7259
a= 31 , b= 211 , p= 7259
a=120 , b=  91 , p= 7259
a= 63 , b=  42 , p= 7259
a=134 , b= 142 , p= 7259
a=250 , b=  38 , p=19028
a=163 , b=  47 , p=19028
a= 95 , b=  68 , p=19028
a=203 , b= 230 , p=19028
a= 41 , b= 237 , p=19028
a=101 , b= 181 , p= 9717
a=121 , b=  68 , p= 9717
a= 42 , b= 171 , p= 9717
a=220 , b= 154 , p= 7182
a=195 , b=  86 , p= 7182
a=103 , b=  10 , p= 7182
a= 56 , b= 121 , p= 7182
a=148 , b= 147 , p= 7182
a= 89 , b= 219 , p=21756
a=217 , b= 109 , p=21756
a=202 , b= 182 , p=23653
a= 70 , b=   4 , p=23653
a=105 , b= 180 , p=23653
a= 40 , b=  45 , p=18900
a= 46 , b=   8 , p=18900
a=253 , b=  41 , p=18900
a=134 , b= 218 , p=10373
a=102 , b= 112 , p=10373
a=186 , b=  94 , p=10373
a=213 , b=  26 , p=17484
a= 55 , b= 150 , p=17484
a= 38 , b= 182 , p= 8250
a=220 , b= 134 , p= 8250
a=126 , b= 219 , p=29480
a=121 , b= 250 , p=29480
a= 23 , b= 161 , p=29480
a= 80 , b= 245 , p= 3703
a= 41 , b= 193 , p= 3703
a=152 , b=  75 , p= 3703
a=236 , b= 138 , p= 3703
a=168 , b= 169 , p=32568
a= 14 , b= 230 , p=32568
a= 42 , b=  42 , p=32568
a=158 , b=  56 , p=32568
a=200 , b= 202 , p=32568
a=107 , b= 199 , p=32568
a=186 , b= 196 , p=21293
a=146 , b= 180 , p=21293
a=134 , b= 250 , p=21293
a= 50 , b= 189 , p=21293
a=228 , b= 202 , p= 9450
a=161 , b= 142 , p= 9450
a= 11 , b= 239 , p= 9450
a= 54 , b= 117 , p= 9450
a=107 , b= 136 , p= 9450
a=155 , b= 146 , p= 9450
a= 45 , b=  75 , p= 9450
a= 30 , b=  13 , p= 9450
a= 24 , b= 209 , p= 9450
a= 65 , b=  59 , p= 9450
a= 83 , b=  86 , p= 3835
a=226 , b=   4 , p= 3835
a=216 , b=  18 , p= 3835
a= 57 , b= 229 , p= 3888
a= 43 , b= 129 , p= 3888
a= 39 , b= 161 , p= 5547
a=  4 , b=  88 , p= 5547
a= 20 , b=  18 , p= 5547
a=177 , b=  85 , p=  360
ncsim: *W,RNQUIE: Simulation is complete.
ncsim> ^C
ncsim> exit
...Regained control from SimVision
-------------------------------------
ncsim: Memory Usage - 38.6M program + 189.6M data = 228.2M total (231.8M Peak)
ncsim: CPU Usage - 70.3s system + 40.9s user = 111.2s total (3331.9s, 3.3% cpu)
